O Portal é fácil de usar.,É fácil localizar os dados e as informações no Portal.,A navegação pelo Portal é intuitiva.,O Portal funciona sem falhas.,As informações são fáceis de entender.,As informações são precisas.,As informações disponibilizadas estão atualizadas.,Consigo obter o que preciso no menor tempo possível.,Qual o seu nível de satisfação com o Portal da Transparência do RS?,Deixe aqui seus comentários\, avaliações ou sugestões sobre o Portal da Transparência do RS.,Qual o seu sexo?,Qual a sua idade?,Qual seu nível de escolaridade completo?,Você é funcionário público?
Concordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Muito satisfeito,Excelente portal,Masculino,35-44 anos,Ensino superior completo,Sim
Concordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Concordo totalmente,Satisfeito,Bom sistema,Feminino,25-34 anos,Ensino médio completo,Não
Neutro,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo,Neutro,Pode melhorar,Masculino,45-54 anos,Pós-graduação,Sim
Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Muito satisfeito,Muito bom,Feminino,18-24 anos,Ensino superior completo,Não
Concordo,Concordo,Neutro,Concordo,Concordo,Concordo,Concordo,Concordo,Satisfeito,Sistema funcional,Masculino,55-64 anos,Ensino médio completo,Sim
Concordo totalmente,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo,Satisfeito,Interface intuitiva,Feminino,35-44 anos,Ensino superior completo,Não
Concordo,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Muito satisfeito,Excelente experiência,Masculino,25-34 anos,Pós-graduação,Sim
Neutro,Concordo,Concordo,Neutro,Concordo,Concordo,Concordo,Concordo,Neutro,Adequado,Feminino,45-54 anos,Ensino médio completo,Não
Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Muito satisfeito,Portal eficiente,Masculino,35-44 anos,Ensino superior completo,Sim
Concordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Satisfeito,Bom desempenho,Feminino,18-24 anos,Ensino superior completo,Não